,Line,Trap.ID,Elevation,mrat,mstoat
248,LST,LST30,1008,0,0.023255814
249,LST,LST31,989,0,0.009302326
250,LST,LST32,969,0,0.009302326
251,LST,LST33,954,0,0.013953488
252,LST,LST34,929,0,0.03255814
253,LST,LST35,913,0,0.023255814
254,LST,LST36,899,0,0.027906977
255,LST,LST37,884,0.004651163,0.013953488
256,LST,LST38,865,0.004651163,0.009302326
257,LST,LST39,848,0.009302326,0.027906977
258,LST,LST40,840,0.018604651,0.046511628
259,LST,LST41,824,0.009302326,0.018604651
260,LST,LST42,825,0,0.046511628
261,LST,LST43,820,0.023255814,0.013953488
262,LST,LST44,814,0.027906977,0.023255814
263,LST,LST45,790,0.027906977,0.009302326
