,Line,Trap.ID,Elevation,mrat,mstoat,sanitized_id,latitude,longitude,gps_elevation
93,CRV,CRV412,918,0.0186046511627907,0.00930232558139535,412,-43.134465,171.730103,923.7055664
94,CRV,CRV413,924,0.0186046511627907,0.0232558139534884,413,-43.133528,171.729309,941.4897461
95,CRV,CRV414,941,0.00930232558139535,0.027906976744186,414,-43.131577,171.72854,963.8400879
96,CRV,CRV415,964,0.00465116279069767,0.0232558139534884,415,-43.129942,171.728081,969.8483887
97,CRV,CRV416,970,0.00465116279069767,0.00465116279069767,416,-43.12878,171.727637,980.6633301
98,CRV,CRV417,981,0,0.00930232558139535,417,-43.12724,171.726251,983.7875977
99,CRV,CRV418,984,0.0325581395348837,0.0325581395348837,418,-43.125406,171.726525,987.392334
100,CRV,CRV419,987,0.00930232558139535,0.0372093023255814,419,-43.125273,171.724994,1000.8505859
101,CRV,CRV420,1001,0,0.013953488372093,420,-43.124138,171.723475,995.8037109
102,CRV,CRV421,996,0,0.00465116279069767,421,-43.123166,171.721817,1005.6572266
103,CRV,CRV422,1006,0,0.027906976744186,422,-43.122306,171.720243,1015.5107422
104,CRV,CRV423,1016,0.0186046511627907,0.00930232558139535,423,-43.121671,171.718572,1021.2785645
105,CRV,CRV424,1021,0.0232558139534884,0.00930232558139535,424,-43.121678,171.716616,1023.9221191
106,CRV,CRV425,1024,0.0325581395348837,0.00465116279069767,425,-43.121044,171.715218,1028.4882813
107,CRV,CRV426,1028,0.00930232558139535,0.0186046511627907,426,-43.120035,171.715312,1032.814209
108,CRV,CRV427,1033,0,0.013953488372093,427,-43.119314,171.713986,1048.1953125
109,CRV,CRV428,1048,0.00930232558139535,0.027906976744186,428,-43.117675,171.712739,1079.9187012
110,CRV,CRV429,1080,0.00930232558139535,0.00930232558139535,429,-43.116384,171.711387,1102.5092773
111,CRV,CRV430,1103,0,0.0186046511627907,430,-43.115354,171.710127,1124.3791504
112,CRV,CRV431,1124,0,0.0372093023255814,431,-43.112907,171.708659,1157.0637207
113,CRV,CRV432,1157,0,0.0186046511627907,432,-43.113633,171.707308,1201.2839355
119,CRV,CRV438,1243,0,0.0372093023255814,438,-43.118804,171.705385,
120,CRV,CRV439,1242,0.013953488372093,0.00465116279069767,439,-43.11792,171.70491,1233.7282715
121,CRV,CRV440,1233,0.00465116279069767,0.0232558139534884,440,-43.117271,171.703988,1239.7365723
122,CRV,CRV441,1233,0,0.027906976744186,441,-43.115467,171.705327,1233.0070801
123,CRV,CRV442,1227,0.00930232558139535,0.013953488372093,442,-43.11523,171.707401,1243.3415527
124,CRV,CRV443,1053,0.00930232558139535,0.013953488372093,443,-43.115434,171.707347,1242.380127
125,CRV,CRV444,1075,0,0.027906976744186,444,-43.115666,171.707714,1233.2475586
126,CRV,CRV445,1091,0,0.0511627906976744,445,-43.116331,171.708415,
127,CRV,CRV446,1103,0,0.0232558139534884,446,-43.115962,171.707045,1227.4797363
128,CRV,CRV451,1117,0,0.013953488372093,451,-43.132953,171.727239,1053.0019531
129,CRV,CRV452,1127,0,0.0186046511627907,452,-43.133607,171.726835,1075.1118164
130,CRV,CRV453,1091,0,0.013953488372093,453,-43.134288,171.725944,1091.4543457
131,CRV,CRV454,1103,0,0.013953488372093,454,-43.135303,171.725485,1102.9899902
132,CRV,CRV455,1117,0,0.0232558139534884,455,-43.136242,171.724836,1116.6887207
133,CRV,CRV456,1127,0,0.00930232558139535,456,-43.137067,171.724894,1127.0227051
134,DFT,DFT101,953,0.00465116279069767,0.0232558139534884,101,-43.1527217,171.7079494,953.2658691
135,DFT,DFT102,938,0,0.0186046511627907,102,-43.1527706,171.7067511,937.8847656
136,DFT,DFT103,937,0,0.0186046511627907,103,-43.1530753,171.7058175,936.9233398
137,DFT,DFT104,935,0,0.00930232558139535,104,-43.153821,171.7049202,935.2412109
138,DFT,DFT105,929,0,0.013953488372093,105,-43.15454,171.7050244,929.4733887
139,DFT,DFT106,923,0.00465116279069767,0.00930232558139535,106,-43.1555326,171.7050199,922.9846191
140,DFT,DFT107,915,0.00930232558139535,0.013953488372093,107,-43.1563559,171.7049889,914.572998
